attribute_id,project,risk,rationale
btc:PerBaseSequenceQuality,BTC,Low,This is a FASTQC technical quality metric (per-base sequence quality state) describing sequencing read quality. It is non-personal technical metadata about file/sequence quality and does not directly identify individuals or sensitive attributes.
htan2:PerBaseSequenceQuality,HTAN2,Low,"PerBaseSequenceQuality is a technical FASTQC QC metric describing read quality states; it contains no personal identifiers, location, or sensitive clinical data and is non-identifying technical metadata."
htan:PerBaseSequenceQuality,HTAN,Low,"PerBaseSequenceQuality is a FASTQC technical QC metric (state/pass/warn/fail) about sequencing read quality. It is non-personal technical metadata and does not reveal identity, location, or sensitive attributes."
btc:PerSequenceGCContent,BTC,Low,"FASTQC per-sequence GC content classification (PASS/WARN/FAIL) is a technical quality control metric about sequencing reads. It does not contain personal identifiers, demographic or cohort information, biospecimen IDs, or other re-identifying details, so it is non-personal technical metadata."
htan2:PerSequenceGCContent,HTAN2,Low,"This is a FASTQC technical quality-control metric (state classification e.g., pass/warn/fail) about sequence GC content. It contains no personal identifiers or sensitive subject information and is non-personal technical metadata."
htan:PerSequenceGCContent,HTAN,Low,"This is a FASTQC quality-control metric (Per-sequence GC content) providing technical classification states (e.g., pass/warn/fail). It is non-personal technical sequencing metadata and does not reveal identity or sensitive clinical information."
btc:PerSequenceQualityScore,BTC,Low,"This is a FASTQC technical QC state (e.g., pass/warn/fail) describing sequencing quality metric; it contains no personal identifiers or quasi-identifiers and is non-personal technical metadata."
htan2:PerSequenceQualityScore,HTAN2,Low,"This is a FASTQC technical quality-control classification (per-sequence quality score state). It describes sequencing read quality, not personal identifiers or quasi-identifiers, so it is non-personal technical metadata."
htan:PerSequenceQualityScore,HTAN,Low,"This is a FASTQC-generated technical quality metric (state classification such as pass/warn/fail) about sequencing reads. It contains no direct identifiers, demographic, or cohort information and does not meaningfully aid re-identification, so it is non-personal technical metadata."
htan2:PerTileSequenceQuality,HTAN2,Low,"PerTileSequenceQuality is a FASTQC technical quality metric describing sequencing tile-specific read quality. It is non-personal technical metadata about instrument/read quality rather than any identifier or sensitive clinical/demographic information, so it is Low risk."
htan:PerTileSequenceQuality,HTAN,Low,"This is a FASTQC metric state (e.g., pass/warn/fail) describing per-tile sequencing quality — a technical QC attribute about sequencing data. It contains no personal identifiers or quasi-identifiers and thus is non-personal technical metadata."
htan2:PercentGCContent,HTAN2,Low,"PercentGCContent is an aggregate, technical property of sequence data (overall %GC across bases). It does not contain direct identifiers or quasi-identifiers and poses minimal re-identification or sensitive personal information risk."
htan:PercentGCContent,HTAN,Low,Overall %GC of all bases in sequences is a technical summary metric (integer) about sequence composition and does not directly identify individuals or provide quasi-identifiers; therefore it is non-personal technical metadata.
htan2:PercentofTranscriptswithinCells,HTAN2,Low,"This is a technical QC metric (percentage of transcripts assigned to assayed cells) describing assay performance. It is non-personal, aggregate/technical metadata and does not directly or indirectly identify individuals or reveal sensitive clinical or demographic information."
htan:PercentofTranscriptswithinCells,HTAN,Low,"This is a technical assay-level QC metric (percentage of transcripts assigned to assayed cells). It conveys no personal identifiers, demographics, location, or sensitive clinical information, so it is non-personal technical metadata."
htan2:PermeabilizationTime,HTAN2,Low,"PermeabilizationTime is a technical laboratory protocol parameter (duration in minutes for tissue permeabilization). It contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information and therefore is non-personal technical metadata (Low)."
htan:PermeabilizationTime,HTAN,Low,"Permeabilization time is technical protocol metadata (processing duration in minutes) about tissue preparation. It does not contain personal identifiers, demographic or cohort information and poses low re-identification risk."
htan2:PhosphoSite,HTAN2,Low,"This attribute describes a protein phosphorylation site (amino acid and position, e.g., S442), which is technical molecular metadata about an assay target and does not reveal personal identity, contact, location, financial, or sensitive clinical information."
htan2:PhosphoproteinFlag,HTAN2,Low,"Indicates whether an antibody targets a phosphoprotein — reagent/technical metadata about assay reagents. Contains no personal, demographic, location, or sensitive clinical information and thus is non-personal technical metadata."
htan:PhosphoproteinFlag,HTAN,Low,"Indicates whether an antibody targets a phosphoprotein — reagent/assay technical metadata. It does not reveal personal identifiers, demographics, or sensitive clinical information, so it is non-personal technical metadata (Low)."
gf:PhysicalSizeX,GF,Low,"Technical image metadata (physical pixel X-dimension and units). No personal identifiers or quasi-identifiers; purely instrument/measurement property, therefore low sensitivity."
